scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,1572.08947293206,Day 65 - Wednesday 12:05,PROD-9,Production Failure,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1572.58947293206,Day 65 - Wednesday 12:35,PROD-9,Production Failure,finished,Tech 2,Station 1,0,rtv,1229.08947293206,1229.58947293206,0.5,2026-07-16T19:34:27.108097
base run,1572.58947293206,Day 65 - Wednesday 12:35,RMA-10,Customer RMA,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1572.6228062653934,Day 65 - Wednesday 12:37,RMA-10,Customer RMA,finished,Tech 2,Station 1,0,rtv,1229.58947293206,1229.6228062653934,0.03333333333333333,2026-07-16T19:34:27.108097
base run,1572.6228062653934,Day 65 - Wednesday 12:37,RMA-11,Customer RMA,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1574.48947293206,Day 65 - Wednesday 14:29,RMA-11,Customer RMA,finished,Tech 2,Station 1,0,scrap,1181.6228062653934,1183.48947293206,1.8666666666666667,2026-07-16T19:34:27.108097
base run,1574.48947293206,Day 65 - Wednesday 14:29,RMA-12,Customer RMA,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1575.5,Day 65 - Wednesday 15:30,RMA-12,Customer RMA,paused,Tech 2,Station 1,2.906139598726592,,,,,2026-07-16T19:34:27.108097
base run,1593.9061395987267,Day 66 - Thursday 09:54,RMA-12,Customer RMA,finished,Tech 2,Station 1,0,repaired,1159.48947293206,1178.9061395987267,3.9166666666666665,2026-07-16T19:34:27.108097
base run,1593.9061395987267,Day 66 - Thursday 09:54,ADVEX-6,Advance Exchange,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1593.9561395987266,Day 66 - Thursday 09:57,ADVEX-6,Advance Exchange,finished,Tech 2,Station 1,0,rtv,1154.9061395987267,1154.9561395987266,0.05,2026-07-16T19:34:27.108097
base run,1593.9561395987266,Day 66 - Thursday 09:57,RMA-14,Customer RMA,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1599.5,Day 66 - Thursday 15:30,RMA-14,Customer RMA,paused,Tech 2,Station 1,16.722806265393288,,,,,2026-07-16T19:34:27.108097
base run,1623.5,Day 67 - Friday 15:30,RMA-14,Customer RMA,paused,Tech 2,Station 1,8.222806265393288,,,,,2026-07-16T19:34:27.108097
